City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
992,sola,vu,78.93,overcast clouds,-13.8833,167.55,Leumerus Bungalows
993,ohara,jp,49.86,overcast clouds,35.25,140.3833,Sakigake
994,east london,za,74.26,broken clouds,-33.0153,27.9116,Tu Casa
995,touros,br,79.75,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
996,clovis,us,65.03,broken clouds,36.8252,-119.7029,Fairfield Inn & Suites by Marriott Fresno Clovis
997,angermunde,de,44.33,overcast clouds,53.015,13.9992,Flair Hotel Weiss
998,kodiak,us,38.71,light rain,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
1000,nome,us,24.12,broken clouds,64.5011,-165.4064,Dredge 7 Inn
1001,bac lieu,vn,81.45,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
1002,cape town,za,63.01,scattered clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
1004,serik,tr,50.76,broken clouds,36.9169,31.0989,Armas Belek - Ultra All Inclusive
1005,conakry,gn,78.87,few clouds,9.538,-13.6773,Riviera Royal Hotel
1006,rocha,uy,74.88,light rain,-34.4833,-54.3333,Hotel Arrarte
1007,port keats,au,83.91,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
1008,atuona,pf,79.45,overcast clouds,-9.8,-139.0333,Villa Enata
1009,korla,cn,51.55,overcast clouds,41.7597,86.1469,Gulisitan Hotel
1010,ushuaia,ar,44.22,scattered clouds,-54.8,-68.3,Albatross Hotel
1011,kastamonu,tr,41.74,overcast clouds,41.5,33.6667,Kasaba Orencik Koyu Muhtarligi
1012,constitucion,mx,82.06,broken clouds,23.9912,-104.6749,Hotel Posada San Agustin
1013,zarya,ru,27.91,overcast clouds,55.7553,38.0958,Hotel Dali
1014,busselton,au,66.16,broken clouds,-33.65,115.3333,Observatory Guest House
1015,kruisfontein,za,61.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
1016,tiksi,ru,3.22,overcast clouds,71.6872,128.8694,Arktika
1017,constitucion,mx,82.06,broken clouds,23.9912,-104.6749,Hotel Posada San Agustin
1018,hermanus,za,66.79,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
1019,punta arenas,cl,44.71,broken clouds,-53.15,-70.9167,Hotel Hain
1020,iranshahr,ir,67.69,clear sky,27.2025,60.6848,نیک سرشت
1021,kahului,us,86.02,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
1022,mar del plata,ar,58.87,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
1023,port moresby,pg,85.42,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
1024,punta arenas,cl,44.71,broken clouds,-53.15,-70.9167,Hotel Hain
1025,lompoc,us,69.12,broken clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
